,midi_nunique_inst,midi_nunique_note,midi_num_notes,midi_min_note,midi_second_quintile_note,midi_median_note,midi_fourth_quintile_note,midi_max_note,midi_avg_notes_inst,seconds
0,5,75,413845,24,57,63,70,100,82769.0,447
1,5,63,378694,31,62,69,78,98,75738.8,251
2,5,71,500871,26,57,66,76,100,100174.2,444
4,1,70,145296,30,51,67,78,100,145296.0,546
5,1,63,195751,32,57,66,76,100,195751.0,325
6,1,71,453256,29,56,64,76,100,453256.0,714
7,3,71,641098,29,58,67,77,101,213699.3333333333,490
9,1,69,327482,28,52,62,70,96,327482.0,696
10,1,71,412507,29,56,65,73,100,412507.0,784
12,1,70,256260,26,56,68,76,100,256260.0,362
13,1,64,79984,29,55,65,77,98,79984.0,229
14,1,69,219203,26,54,66,74,101,219203.0,371
15,1,70,398798,26,51,60,70,97,398798.0,710
16,1,61,162270,29,49,56,68,92,162270.0,468
17,1,55,104136,32,51,59,70,94,104136.0,194
18,1,72,449512,29,51,60,72,101,449512.0,655
19,1,72,397614,29,57,64,72,104,397614.0,600
20,1,58,166600,29,51,63,72,97,166600.0,438
21,1,72,410092,29,54,63,74,101,410092.0,676
22,1,72,324873,29,57,68,80,101,324873.0,427
23,1,48,83194,33,54,61,69,88,83194.0,290
24,1,65,397512,27,58,67,75,95,397512.0,647
25,1,55,148269,34,61,67,74,91,148269.0,417
27,1,69,471396,29,53,64,73,100,471396.0,578
28,1,67,321334,29,54,64,73,97,321334.0,726
29,1,59,401332,31,53,64,72,91,401332.0,629
30,3,55,327021,36,58,66,73,91,109007.0,513
31,3,53,148681,36,53,65,70,89,49560.333333333336,461
32,3,52,207652,36,59,65,72,91,69217.33333333333,323
34,3,55,325693,36,58,66,73,91,108564.33333333331,472
35,3,53,148681,36,53,65,70,89,49560.333333333336,504
36,3,52,235311,36,58,66,72,88,78437.0,356
37,3,56,155312,36,55,65,74,91,51770.66666666666,444
38,4,48,134759,38,59,65,73,88,33689.75,489
40,4,45,365782,38,61,68,73,88,91445.5,591
41,3,37,133648,39,58,65,72,82,44549.333333333336,250
42,3,45,143150,34,58,63,70,84,47716.66666666666,407
43,3,38,84317,39,58,64,72,84,28105.666666666668,177
44,3,52,283829,36,58,64,71,89,94609.66666666669,460
45,3,46,99689,41,62,68,75,93,33229.666666666664,252
46,3,52,126551,33,59,66,73,88,42183.66666666666,265
47,3,56,312564,32,63,71,78,90,104188.0,421
48,3,50,158942,36,60,68,76,91,52980.66666666666,236
49,3,47,170507,39,59,66,71,88,56835.66666666666,392
51,3,60,271829,29,57,69,77,89,90609.66666666669,366
52,3,55,180486,31,59,67,75,89,60162.0,356
53,3,53,221867,33,58,66,75,88,73955.66666666667,325
54,3,58,421425,36,55,65,74,93,140475.0,675
55,3,54,108308,36,55,62,70,94,36102.66666666666,367
56,3,59,352876,36,55,64,73,94,117625.33333333331,434
58,3,59,353516,36,55,64,73,94,117838.66666666669,393
59,3,50,153047,38,57,62,72,96,51015.66666666666,471
60,3,58,198289,36,53,65,74,96,66096.33333333333,250
61,3,58,321970,36,56,63,70,96,107323.33333333331,351
62,5,49,293027,39,63,71,77,89,58605.4,329
63,5,44,78716,39,60,67,75,86,15743.2,247
65,5,52,256549,38,62,71,77,91,51309.8,355
66,5,50,116026,38,62,71,77,91,23205.2,278
67,5,49,211862,38,64,72,77,88,42372.4,233
68,5,51,221030,36,62,72,77,91,44206.0,299
