,file_name,midi_nunique_inst,midi_nunique_note,midi_num_notes,midi_min_note,midi_second_quintile_note,midi_median_note,midi_fourth_quintile_note,midi_max_note,midi_avg_notes_inst
0,1727,5,75,413845,24,57,63,70,100,82769.0
1,1728,5,63,378694,31,62,69,78,98,75738.8
2,1729,5,71,500871,26,57,66,76,100,100174.2
3,1730,5,76,503410,26,56,65,74,102,100682.0
4,1733,1,70,145296,30,51,67,78,100,145296.0
5,1734,1,63,195751,32,57,66,76,100,195751.0
6,1735,1,71,453256,29,56,64,76,100,453256.0
7,1739,3,71,641098,29,58,67,77,101,213699.33333333334
8,1742,3,55,261866,36,58,65,71,90,87288.66666666667
9,1749,1,69,327482,28,52,62,70,96,327482.0
10,1750,1,71,412507,29,56,65,73,100,412507.0
11,1751,1,62,277814,31,57,64,72,93,277814.0
12,1752,1,70,256260,26,56,68,76,100,256260.0
13,1755,1,64,79984,29,55,65,77,98,79984.0
14,1756,1,69,219203,26,54,66,74,101,219203.0
15,1757,1,70,398798,26,51,60,70,97,398798.0
16,1758,1,61,162270,29,49,56,68,92,162270.0
17,1759,1,55,104136,32,51,59,70,94,104136.0
18,1760,1,72,449512,29,51,60,72,101,449512.0
19,1763,1,72,397614,29,57,64,72,104,397614.0
20,1764,1,58,166600,29,51,63,72,97,166600.0
21,1765,1,72,410092,29,54,63,74,101,410092.0
22,1766,1,72,324873,29,57,68,80,101,324873.0
23,1768,1,48,83194,33,54,61,69,88,83194.0
24,1771,1,65,397512,27,58,67,75,95,397512.0
25,1772,1,55,148269,34,61,67,74,91,148269.0
26,1773,1,48,103040,41,59,67,75,96,103040.0
27,1775,1,69,471396,29,53,64,73,100,471396.0
28,1776,1,67,321334,29,54,64,73,97,321334.0
29,1777,1,59,401332,31,53,64,72,91,401332.0
30,1788,3,55,327021,36,58,66,73,91,109007.0
31,1789,3,53,148681,36,53,65,70,89,49560.333333333336
32,1790,3,52,207652,36,59,65,72,91,69217.33333333333
33,1791,3,52,324092,36,59,65,72,89,108030.66666666667
34,1792,3,55,325693,36,58,66,73,91,108564.33333333333
35,1793,3,53,148681,36,53,65,70,89,49560.333333333336
36,1805,3,52,235311,36,58,66,72,88,78437.0
37,1807,3,56,155312,36,55,65,74,91,51770.666666666664
38,1811,4,48,134759,38,59,65,73,88,33689.75
39,1812,4,43,238414,38,62,68,74,86,59603.5
40,1813,4,45,365782,38,61,68,73,88,91445.5
41,1817,3,37,133648,39,58,65,72,82,44549.333333333336
42,1818,3,45,143150,34,58,63,70,84,47716.666666666664
43,1819,3,38,84317,39,58,64,72,84,28105.666666666668
44,1822,3,52,283829,36,58,64,71,89,94609.66666666667
45,1824,3,46,99689,41,62,68,75,93,33229.666666666664
46,1828,3,52,126551,33,59,66,73,88,42183.666666666664
47,1829,3,56,312564,32,63,71,78,90,104188.0
48,1835,3,50,158942,36,60,68,76,91,52980.666666666664
49,1859,3,47,170507,39,59,66,71,88,56835.666666666664
50,1872,3,54,169275,31,58,67,74,87,56425.0
51,1873,3,60,271829,29,57,69,77,89,90609.66666666667
52,1876,3,55,180486,31,59,67,75,89,60162.0
53,1893,3,53,221867,33,58,66,75,88,73955.66666666667
54,1916,3,58,421425,36,55,65,74,93,140475.0
55,1918,3,54,108308,36,55,62,70,94,36102.666666666664
56,1919,3,59,352876,36,55,64,73,94,117625.33333333333
57,1922,3,54,108308,36,55,62,70,94,36102.666666666664
58,1923,3,59,353516,36,55,64,73,94,117838.66666666667
59,1931,3,50,153047,38,57,62,72,96,51015.666666666664
60,1932,3,58,198289,36,53,65,74,96,66096.33333333333
61,1933,3,58,321970,36,56,63,70,96,107323.33333333333
62,2075,5,49,293027,39,63,71,77,89,58605.4
63,2076,5,44,78716,39,60,67,75,86,15743.2
64,2077,5,43,161346,39,62,70,75,87,32269.2
65,2078,5,52,256549,38,62,71,77,91,51309.8
