,ensemble
0,0
1,0
2,0
4,1
5,1
6,1
7,2
9,1
10,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
27,1
28,1
29,1
30,4
31,4
32,4
34,4
35,4
36,4
37,4
38,5
40,5
41,6
42,6
43,6
44,4
45,4
46,2
47,2
48,4
49,4
51,2
52,2
53,2
54,4
55,4
56,4
58,4
59,4
60,4
61,4
62,7
63,7
65,7
66,7
67,7
68,7
70,7
71,4
73,4
74,8
75,8
76,8
77,9
79,9
80,9
81,10
82,10
83,4
84,4
85,11
87,12
89,12
90,11
91,11
92,11
94,13
95,13
96,13
98,12
99,12
100,12
101,12
102,4
103,4
104,4
105,4
107,14
108,1
109,1
110,1
111,1
112,1
113,1
115,15
116,15
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,16
127,16
129,16
130,16
131,16
132,1
133,1
134,1
136,1
137,1
138,1
140,1
141,1
143,1
144,1
145,14
146,14
148,14
149,1
150,1
151,17
152,17
153,17
155,14
156,14
157,1
158,16
159,16
161,16
162,16
163,16
164,1
165,1
167,1
168,1
170,1
172,4
173,4
174,4
175,18
176,18
178,1
179,1
181,19
182,19
183,19
184,19
185,19
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
196,4
197,4
201,1
202,4
203,4
204,4
206,4
207,4
208,4
210,1
211,1
212,1
213,1
214,1
215,19
216,19
217,4
219,1
220,1
221,1
222,1
223,6
225,6
228,1
229,1
230,4
232,4
233,1
234,1
235,1
236,1
237,1
239,19
240,19
241,19
242,1
243,1
244,1
245,1
246,1
247,1
248,4
249,4
250,4
251,4
252,1
253,1
254,1
255,1
257,1
261,19
262,20
264,20
265,20
267,1
268,1
271,8
272,8
273,8
274,1
275,1
276,1
278,1
279,1
280,1
282,1
283,1
284,1
285,1
286,1
288,1
290,4
292,1
294,1
295,19
296,19
298,19
299,1
300,1
302,1
304,1
305,1
308,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
320,4
321,19
322,19
323,19
324,19
325,1
326,1
327,14
329,1
