,ensemble
329,19
214,1
163,1
254,20
245,1
86,12
16,1
108,1
152,14
93,13
87,11
266,1
116,1
236,1
135,1
155,16
234,1
319,1
295,1
194,1
123,16
215,1
303,1
159,1
95,12
228,1
259,1
175,19
203,1
305,1
34,4
276,1
238,1
235,1
79,10
229,1
161,1
37,5
36,4
308,1
314,19
322,4
2,0
63,7
132,1
97,12
47,4
231,19
299,1
196,4
61,7
167,4
72,8
133,1
197,4
1,0
28,1
271,1
7,2
112,15
206,1
243,4
21,1
313,19
41,6
42,4
291,1
279,1
49,2
324,16
77,9
296,1
19,1
23,1
162,1
239,1
265,8
160,1
114,1
74,9
204,1
227,1
0,0
98,12
207,1
316,14
102,4
22,1
205,1
209,19
306,1
170,18
50,2
304,1
29,4
278,1
4,1
57,4
58,4
141,1
101,4
186,1
325,4
146,1
105,1
131,1
213,1
60,7
312,19
190,4
233,19
188,1
69,4
118,1
113,1
71,8
78,10
246,1
249,1
260,1
201,4
10,1
104,1
211,1
143,14
232,19
253,19
52,4
225,1
92,13
321,6
53,4
151,14
178,19
73,8
119,1
115,1
224,4
168,4
76,9
24,1
157,16
66,7
84,12
191,4
14,1
268,1
120,1
290,1
27,1
26,1
46,4
64,7
96,12
122,1
222,4
18,1
183,1
309,1
12,1
9,1
210,4
263,8
144,1
247,1
285,1
33,4
307,1
138,1
59,4
311,4
187,1
216,6
176,19
217,6
323,14
147,17
208,19
198,4
31,4
184,1
169,18
275,1
100,4
182,1
89,11
317,1
43,4
13,1
172,1
240,4
15,1
128,1
65,7
140,14
125,16
30,4
220,1
88,11
149,17
6,1
257,20
177,19
145,14
129,1
281,4
277,1
289,19
121,16
200,4
81,4
109,1
80,4
154,16
153,1
185,1
51,2
127,16
272,1
226,1
237,1
137,1
20,1
293,1
179,19
117,1
244,1
44,2
267,1
56,4
35,4
39,5
54,4
270,1
283,1
107,1
45,2
256,20
320,1
315,1
287,19
166,4
40,6
242,4
274,1
221,1
173,1
91,13
82,11
241,4
111,15
264,8
181,1
126,16
148,17
106,1
158,16
5,1
136,1
17,1
99,4
286,19
68,7
